Time t,theta 1,theta 2,theta 3,omega 1,omega 2,omega 3
1.99,0,1.0472,-1.0472,0,3.85631e-016,-1.73534e-015
2,0,1.0472,-1.0472,0,3.87569e-016,-1.74406e-015
2.01,0,1.0472,-1.0472,0,3.89507e-016,-1.75278e-015
2.02,0,1.0472,-1.0472,0,3.91444e-016,-1.7615e-015
2.03,0,1.0472,-1.0472,0,3.93382e-016,-1.77022e-015
2.04,0,1.0472,-1.0472,0,3.9532e-016,-1.77894e-015
2.05,0,1.0472,-1.0472,0,3.97258e-016,-1.78766e-015
2.06,0,1.0472,-1.0472,0,3.99196e-016,-1.79638e-015
2.07,0,1.0472,-1.0472,0,4.01134e-016,-1.8051e-015
2.08,0,1.0472,-1.0472,0,4.03072e-016,-1.81382e-015
2.09,0,1.0472,-1.0472,0,4.05009e-016,-1.82254e-015
2.1,0,1.0472,-1.0472,0,4.06947e-016,-1.83126e-015
2.11,0,1.0472,-1.0472,0,4.08885e-016,-1.83998e-015
2.12,0,1.0472,-1.0472,0,4.10823e-016,-1.8487e-015
2.13,0,1.0472,-1.0472,0,4.12761e-016,-1.85742e-015
2.14,0,1.0472,-1.0472,0,4.14699e-016,-1.86614e-015
2.15,0,1.0472,-1.0472,0,4.16636e-016,-1.87486e-015
2.16,0,1.0472,-1.0472,0,4.18574e-016,-1.88358e-015
2.17,0,1.0472,-1.0472,0,4.20512e-016,-1.8923e-015
2.18,0,1.0472,-1.0472,0,4.2245e-016,-1.90102e-015
2.19,0,1.0472,-1.0472,0,4.24388e-016,-1.90975e-015
2.2,0,1.0472,-1.0472,0,4.26326e-016,-1.91847e-015
2.21,0,1.0472,-1.0472,0,4.28263e-016,-1.92719e-015
2.22,0,1.0472,-1.0472,0,4.30201e-016,-1.93591e-015
2.23,0,1.0472,-1.0472,0,4.32139e-016,-1.94463e-015
2.24,0,1.0472,-1.0472,0,4.34077e-016,-1.95335e-015
2.25,0,1.0472,-1.0472,0,4.36015e-016,-1.96207e-015
2.26,0,1.0472,-1.0472,0,4.37953e-016,-1.97079e-015
2.27,0,1.0472,-1.0472,0,4.39891e-016,-1.97951e-015
2.28,0,1.0472,-1.0472,0,4.41828e-016,-1.98823e-015
2.29,0,1.0472,-1.0472,0,4.43766e-016,-1.99695e-015
2.3,0,1.0472,-1.0472,0,4.45704e-016,-2.00567e-015
2.31,0,1.0472,-1.0472,0,4.47642e-016,-2.01439e-015
2.32,0,1.0472,-1.0472,0,4.4958e-016,-2.02311e-015
2.33,0,1.0472,-1.0472,0,4.51518e-016,-2.03183e-015
2.34,0,1.0472,-1.0472,0,4.53455e-016,-2.04055e-015
2.35,0,1.0472,-1.0472,0,4.55393e-016,-2.04927e-015
2.36,0,1.0472,-1.0472,0,4.57331e-016,-2.05799e-015
2.37,0,1.0472,-1.0472,0,4.59269e-016,-2.06671e-015
2.38,0,1.0472,-1.0472,0,4.61207e-016,-2.07543e-015
2.39,0,1.0472,-1.0472,0,4.63145e-016,-2.08415e-015
2.4,0,1.0472,-1.0472,0,4.65083e-016,-2.09287e-015
2.41,0,1.0472,-1.0472,0,4.6702e-016,-2.10159e-015
2.42,0,1.0472,-1.0472,0,4.68958e-016,-2.11031e-015
2.43,0,1.0472,-1.0472,0,4.70896e-016,-2.11903e-015
2.44,0,1.0472,-1.0472,0,4.72834e-016,-2.12775e-015
2.45,0,1.0472,-1.0472,0,4.74772e-016,-2.13647e-015
2.46,0,1.0472,-1.0472,0,4.7671e-016,-2.14519e-015
2.47,0,1.0472,-1.0472,0,4.78647e-016,-2.15391e-015
2.48,0,1.0472,-1.0472,0,4.80585e-016,-2.16263e-015
2.49,0,1.0472,-1.0472,0,4.82523e-016,-2.17135e-015
2.5,0,1.0472,-1.0472,0,4.84461e-016,-2.18007e-015
2.51,0,1.0472,-1.0472,0,4.86399e-016,-2.18879e-015
2.52,0,1.0472,-1.0472,0,4.88337e-016,-2.19751e-015
2.53,0,1.0472,-1.0472,0,4.90274e-016,-2.20624e-015
2.54,0,1.0472,-1.0472,0,4.92212e-016,-2.21496e-015
2.55,0,1.0472,-1.0472,0,4.9415e-016,-2.22368e-015
2.56,0,1.0472,-1.0472,0,4.96088e-016,-2.2324e-015
2.57,0,1.0472,-1.0472,0,4.98026e-016,-2.24112e-015
2.58,0,1.0472,-1.0472,0,4.99964e-016,-2.24984e-015
2.59,0,1.0472,-1.0472,0,5.01902e-016,-2.25856e-015
2.6,0,1.0472,-1.0472,0,5.03839e-016,-2.26728e-015
2.61,0,1.0472,-1.0472,0,5.05777e-016,-2.276e-015
2.62,0,1.0472,-1.0472,0,5.07715e-016,-2.28472e-015
2.63,0,1.0472,-1.0472,0,5.09653e-016,-2.29344e-015
2.64,0,1.0472,-1.0472,0,5.11591e-016,-2.30216e-015
2.65,0,1.0472,-1.0472,0,5.13529e-016,-2.31088e-015
2.66,0,1.0472,-1.0472,0,5.15466e-016,-2.3196e-015
2.67,0,1.0472,-1.0472,0,5.17404e-016,-2.32832e-015
2.68,0,1.0472,-1.0472,0,5.19342e-016,-2.33704e-015
2.69,0,1.0472,-1.0472,0,5.2128e-016,-2.34576e-015
